,Current Name,Facility Street1,Facility City,Zip Code,Geographic Area Name
37,Glen Meadows Retirement Community,11630 Glen Arm Road,Glen Arm,21057,Baltimore County
38,Autumn Ridge at North Oaks,725 Mt. Wilson Lane,Baltimore,21208,Baltimore County
39,Autumn Lake Healthcare at Perring Parkway,1801 Wentworth Road,Baltimore,21234,Baltimore County
40,Autumn Lake Healthcare at Pikesville,7 Sudbrook Lane,Pikesville,21208,Baltimore County
41,Broadmead,13801 York Road,Cockeysville,21030,Baltimore County
42,Patapsco Healthcare,9109 Liberty Road,Randallstown,21133,Baltimore County
43,Ridgeway Rehabilitation Center,5743 Edmondson Avenue,Catonsville,21228,Baltimore County
44,"St. Joseph''''s Nursing Home, Inc",1222 Tugwell Drive,Catonsville,21228,Baltimore County
45,Chestnut Green Health Care Center at Blakehurst,1055 West Joppa Road,Towson,21204,Baltimore County
46,"Stella Maris, Inc.",2300 Dulaney Valley Road,Timonium,21093,Baltimore County
47,Autumn Lake Healthcare at Summit Park,1502 Frederick Road,Catonsville,21228,Baltimore County
48,Autumn Lake healthcare at Loch Raven,8720 Emge Road,Baltimore,21234,Baltimore County
49,Complete Care at Multi Medical Center,7700 York Road,Towson,21204,Baltimore County
50,Frederick villa healthcare,711 Academy Road,Catonsville,21228,Baltimore County
51,Autumn Lake Healthcare at Riverview,One Eastern Boulevard,Baltimore,21221,Baltimore County
52,"FutureCare-Old Court, LLC",5412 Old Court Road,Randallstown,21133,Baltimore County
53,FutureCare Courtland,7920 Scotts Level Road,Baltimore,21208,Baltimore County
54,Autumn Lake Healthcare at Parkville,8710 Emge Road,Baltimore,21234,Baltimore County
55,"Complete Care at Heritage Center, LLC.",7232 German Hill Road,Baltimore,21222,Baltimore County
56,FutureCare - NorthPoint,1046 Old North Point Road,Baltimore,21224,Baltimore city
57,Edenwald,800 Southerly Road,Towson,21286,Baltimore County
58,Charlestown Community Inc.,709 Maiden Choice Lane,Catonsville,21228,Baltimore County
59,FutureCare-Cherrywood,12020 Reisterstown Road,Reisterstown,21136,Baltimore County
60,Genesis Franklin Woods Center,9200 Franklin Square Drive,Baltimore,21237,Baltimore County
61,Oak Crest Village Care Center,8832 Walther Boulevard,Parkville,21234,Baltimore County
62,Meadow Park Nursing Home,1525 North Rolling Road,Catonsville,21228,Baltimore County
63,Lorien Mays Chapel,12230 Roundwood Road,Timonium,21093,Baltimore County
64,Oasis Nursing and Rehab,85 Hospital Road,Prince Frederick,20678,Calvert County
65,Solomons Skilled Nursing Center LLC,13325 Dowell Road,Solomons,20688,Calvert County
66,Asbury Atlantic Inc. dba Asbury Solomons,11750 Asbury Circle,Solomons,20688,Calvert County
67,520 Kerr Avenue Opco LLC,520 Kerr Avenue,Denton,21629,Caroline County
68,Denton Nursing and Rehab,420 Colonial Drive,Denton,21629,Caroline County
69,Fairhaven Nursing Home,7200 Third Avenue,Sykesville,21784,Carroll County
70,Atlee Hill Skilled Nursing and Rehabilitation,297 Stoner Ave,Westminster,21157,Carroll County
71,Autumn Lake Healthcare at Long View,3332 Main Street,Manchester,21102,Carroll County
72,Autumn Lake Healthcare at Birch Manor,7309 Second Avenue,Sykesville,21784,Carroll County
73,Pleasant View Healthcare Center,4101 Old  National Pike,Mt. Airy,21771,Frederick County
74,Westminster Healthcare Center,1234 Washington Road,Westminster,21157,Carroll County
75,Carroll Lutheran Village Healthcare Center,200 Saint Luke Circle,Westminster,21158,Carroll County
76,Copper Ridge,710 Obrecht Road,Sykesville,21784,Carroll County
77,Lorien Mt. Airy,705 Midway Ave.,Mt. Airy,21771,Frederick County
78,Lorien - Taneytown,100 Antrim Boulevard,Taneytown,21787,Carroll County
79,Autumn Lake Healthcare at Calver Manor,1881 Telegraph Road,Rising Sun,21911,Cecil County
80,Elkton Nursing and Rehabilitation Center,One Price Drive,Elkton,21921,Cecil County
81,Laurelwood Care Center at Elkton,100 Laurel Drive,Elkton,21921,Cecil County
82,Green Acres Nursing and Rehab,10200 LaPlata Road,La Plata,20646,Charles County
83,Complete Care at La Plata,1 Magnolia Drive,La Plata,20646,Charles County
84,Genesis Waldorf Center,4140 Old Washington Highway,Waldorf,20602,Charles County
85,Restore Health Rehabilitation Center,4615 Einstein Place,White Plains,20695,Charles County
86,Mallard Bay Nursing and Rehabiliation,520 Glenburn Avenue,Cambridge,21613,Dorchester County
87,Autumn Lake Healthcare at Chesapeake Woods,525 Glenburn Avenue,Cambridge,21613,Dorchester County
88,Autumn Lake Healthcare at Ballenger Creek,347 Ballenger Center Drive,Frederick,21703,Frederick County
89,Autumn Lake Healthcare at Braddock Heights,6012 Jefferson Boulevard,Frederick,21703,Frederick County
90,Citizens Care and Rehabilitation Center of Fred,1920 Rosemont Avenue,Frederick,21702,Frederick County
91,Homewood Living Frederick,7407 Willow Road,Frederick,21702,Frederick County
92,Northampton Manor Health Care Center,200 East 16th Street,Frederick,21701,Frederick County
93,Frederick Crossing,30 North Place,Frederick,21701,Frederick County
94,Autumn Lake Healthcare at Glade Valley,56 W. Frederick Street,Walkersville,21793,Frederick County
95,Buckingham''s Choice,3200 Baker Circle,Adamstown,21710,Frederick County
96,Oakland Nursing & Rehabilitation Center,706 E Alder St,Oakland,21550,Garrett County
97,Goodwill Mennonite Home,891 Dorsey Hotel Road,Grantsville,21536,Garrett County
98,Dennett SNF LLC,1113 Mary Drive,Oakland,21550,Garrett County
99,Garrett Regional Medical Center Subacute Unit,251 North Fourth St.,Oakland,21550,Garrett County
100,Sterling Care Bel Air,410 E. MacPhail Road,Bel Air,21014,Harford County
101,Citizens Care Center,415  Market Street,Havre de Grace,21078,Harford County
102,Sterling Care Forest Hill,109 Forest Valley Drive,Forest Hill,21050,Harford County
